;;;;;;;;;;;;;;;;;;;;;;
PRODUCCIÓN METÁLICA ENERO - OCTUBRE 2022;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
METAL;UNIDAD DE MEDIDA;ETAPA;PROCESO;ESTRATO;TITULAR;UNIDAD;REGIÓN;PROVINCIA;DISTRITO;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;ACUM. ENE-DIC
CADMIO;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;COMPAÑÍA MINERA LINCUNA S.A.;HUANCAPETI 2009;ÁNCASH;RECUAY;RECUAY; 8.7 ; 9.2 ; 7.5 ; 10.7 ; 8.8 ; 7.6 ; 8.8 ; 10.3 ; 10.0 ; 10.2 ; -   ; -   ; 92 
CADMIO;TMF;CONCENTRACIÓN;FLOTACIÓN;RÉGIMEN GENERAL;MINERA BATEAS S.A.C.;HUAYLLACHO;AREQUIPA;CAYLLOMA;CAYLLOMA; -   ; 12.0 ; 13.3 ; 11.8 ; 12.9 ; 14.7 ; 13.8 ; 14.7 ; -   ; 14.5 ; -   ; -   ; 108 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;PEQUEÑO PRODUCTOR MINERO;AMAPOLA 5 S.A.C.;AMAPOLA 5;ÁNCASH;AIJA;LA MERCED; 9.2 ; 6.1 ; 9.9 ; 4.9 ; 13.4 ; 14.4 ; 10.5 ; 11.2 ; 9.5 ; 8.7 ; -   ; -   ; 98 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;PEQUEÑO PRODUCTOR MINERO;AURIFERA SACRAMENTO S.A.;SACRAMENTO;HUANCAVELICA;HUAYTARA;HUAYTARA; -   ; -   ; -   ; -   ; 6.2 ; -   ; 12.8 ; -   ; 5.5 ; 9.9 ; -   ; -   ; 34 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;PEQUEÑO PRODUCTOR MINERO;EXPLORACIONES PORVENIR S.A.C.;HUINLLO CARRIZAL;AREQUIPA;CARAVELI;QUICACHA; -   ; -   ; 12.8 ; -   ; -   ; 9.5 ; -   ; -   ; -   ; -   ; -   ; -   ; 22 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;PEQUEÑO PRODUCTOR MINERO;GARCIA QUISPE LUIS ARMANDO JAVIER;LUIS XVI;ICA;ICA;YAUCA DEL ROSARIO; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 22.5 ; -   ; -   ; 23 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;PEQUEÑO PRODUCTOR MINERO;MINERA EL PALACIO DEL CONDOR S.A.C.;PALACIO DEL CONDOR;AREQUIPA;CAYLLOMA;CAYLLOMA; -   ; -   ; -   ; -   ; 2.3 ; 2.1 ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;PEQUEÑO PRODUCTOR MINERO;MINERA FERCAR E.I.R.L.;RAQUEL;ICA;ICA;YAUCA DEL ROSARIO; -   ; -   ; 43.6 ; -   ; -   ; 42.7 ; -   ; 8.3 ; -   ; 7.5 ; -   ; -   ; 102 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;PEQUEÑO PRODUCTOR MINERO;MINERA HUINAC S.A.C.;QUILCAY Nº 1;ÁNCASH;RECUAY;TICAPAMPA; 7.8 ; 13.3 ; 13.1 ; 7.2 ; 16.0 ; 13.6 ; 12.9 ; 10.2 ; 11.1 ; 10.4 ; -   ; -   ; 116 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;PEQUEÑO PRODUCTOR MINERO;MINERA PARARRAYO SOCIEDAD ANONIMA CERRADA - MINERA PARARRAYO S.A.C.;PARARRAYO;ÁNCASH;RECUAY;CATAC; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 18.8 ; 67.6 ; -   ; -   ; -   ; 86 
COBRE;TMF;CONCENTRACIÓN;FLOTACIÓN;PEQUEÑO PRODUCTOR MINERO;MINERA SHUNTUR S.A.C.;ADRIANA;ÁNCASH;HUARAZ;PIRA; 131.9 ; 113.6 ; 129.0 ; 112.2 ; 117.8 ; 120.8 ; 108.6 ; 130.5 ; 126.5 ; 124.0 ; -   ; -   ; 1,215 
